Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
,əmugdə,,,,,,,,,,,,,,,,,,,,,,,,,èmugdè,əmugdə,əmugdə,,,Sunik 1958: 205,hèmdè,həmdə,xəmdə,,,Sem 1976: 205,hèmdè,həmdə,xəmdə,,,Onenko 1980: 489,hèmdè,həmdə,xəmdə,,,Sunik 1985: 255,,,,,,,əmugdə,əmugdə,əmugdə,,internal,Girfanova 2001: 366,èmugdè,əmugdə,əmugdə,,internal belly; unclear about external belly,"Avrorin, Lebedeva 1978: 257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,èmugdè,əmugdə,əmugdə,,,Cincius 1982: 306,,,,,,
,bokko(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bokko(n),bokko(n),bɔqːɔ(n),,,Ikegami 1997: 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,ur,ʉr,,,Vasilevich 1958: 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ur,ur,ur,,,Novikova 1980: 217
,hukitə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hukitè,hukitə,hʉkɨtə,,,Vasilevich 1958: 490,,hukitə,hukitə,,,,,hukitə,hukitə,,,,,hukitǝ,hukitǝ,,,,,hukutə,hukutə,,,,,,,,,,ḥuktă,hukte,ħukte,,,Novikova 1980: 227
,gudəg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gudeḡ,gudəg,gudəɣ,,,Dorji 1998: 235,gudəgə,gudəgə,gudəɣə,,,Hu 1986: 194,gudigə,gudigə,gudiɣə,,,Tsumagari 1992: 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shoulder (n.),məirə,meire,məirə,məirə,,,Kane 1989: 320,meiren,məirən,məirən,,,Norman 1978: 195,mirin,mirin,mirin,,,Li 1986: 148,mirə,mirə,mirə,,,Zhang et al. 1989: 99,mèjrè,məjrə,məjrə,,,Sunik 1958: 183,mèirè(n),məirə(n),məirə(n),,,Sem 1976: 174,ngujrè ~ mujrè,ŋujrə ~ mujrə,ŋwujrə ~ mwujrə,,,Onenko 1980: 285,ňujrè,ŋujrə,ŋujrə,,,Sunik 1985: 220,muirə,muirə,muirə,,,Ikegami 1997: 128,,,,,,,mijè,mijə,mjijə,,,"Avrorin, Lebedeva 1978: 204",miir,miːr,miːr,,,Dorji 1998: 441,miirə,miːrə,miːrə,,,Hu 1986: 194,miirə,miːrə,miːrə,,,Tsumagari 1992: 98,mirè,mirə,mɨrə,,,Vasilevich 1958: 253,,miːrə,miːrə,,,,,miːrə,miːrə,,,,,mirǝ,mirǝ,,,,,miːrə,miːrə,,,,mīǰe ~ mīǰè,miːjə,miːjə,January; November-December,,Cincius 1982: 241,mīr,miːr,miːr,,,Novikova 1980: 190
,bogdolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bogdolo,bogdolo,bogdolo,,,Girfanova 2001: 66,bogdolo,bogdolo,bɔgdɔlɔ,,,Schmidt 1928: 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claw (n.),ošoho,,,,,,,ošoho,ošoho,oʃoχo,,,Norman 1978: 225,soχurqw,sohurqo,soɣurqo,,,Li 1986: 146,,,,,,,os'akta,os'akta,osjaqta,fingernail,cf. nail; animal claws,Sunik 1958: 187,ḥos'aḳta ~ ḥos'aḥta ~ ḥos'íḳta ~ ḥos'íḥta,hosakta ~ hosahta ~ hosịkta ~ hosịhta,χosaqta ~ χosaχta ~ χosjekta ~ χosjexta,fingernail,,Sem 1976: 203,hosakta ~ hosikta,hosakta ~ hosekta,χwosaqta ~ χwosekta,nail,,Onenko 1980: 474,hosta ~ hústa,hosta,xosta,nail,,Sunik 1985: 252,xosikta,hosikta,χɔʃiktɑ,nail,,Ikegami 1997: 241,,,,,,,hosikta,hosikta,χɔsjikta,nail; acorn,,"Avrorin, Lebedeva 1978: 247",ositt,ụšitt,ʊʃɪtː,,,Dorji 1998: 535,,,,,,,osikta,osikta,oʃɪkta,,,Tsumagari 1992: 96,osīkta,osiːkta,osiːkta,nail,,Vasilevich 1958: ,,oːśikta,oːśikta,(finger) nail,,,,ohiːkta,ohiːkta,(finger) nail,,,,ohikta,ohikta,(finger) nail,,,,ośikta,ośikta,(finger) nail,,,ōtta,oːtta,oːtta,fingernail,,Cincius 1982: 260,ostắ,ọsta,oˁstaˁ,nail,,Novikova 1980: 205
,cofˀo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cofˀo,cofˀo,ʦofo̰,,,Girfanova 2001: 355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,čava-,,,,,,,,,,,,,,,,,,,,,,,,,čavakta,čavakta,ʧavaqta,,bird's claws,Sunik 1958: 187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃarbaktan,šarbaktan,ʃarbaktan,,,Hu 1986: 193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,səfəlku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sèfèlku,səfəlku,səfəlku,,bird claws,Sem 1976: 187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,họgar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḥoɣắr,họgar,ħoˁɣaˁr,,bird claw,Novikova 1980: 225
,bͻbͻhiŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bɵbɵhing,bͻbͻhiŋ,bͻbͻxɪŋ,,,Dorji 1998: 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
which?,očimkən,,,,,,,,,,,,,,,,,,,ɔɕimkən,očimkən,ɔɕimkhən,,,Zhang et al. 1989: 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ai,,,,,,,ai,ai,ai,,,Norman 1978: 8,ai / ja,ai / ja,ɑi / jɑ,,,Li 1986: 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jā͜ú,jaːụ,jaːo,,,"Avrorin, Lebedeva 1978: 191",iyye,ijjə,ijːə,,,Dorji 1998: 346,,,,,,,,,,,,,,,,,,,,,,,,,,eːkuma,eːkuma,,what-ATR,,,,,,,,,,,,,,ēma,eːma,ɛːma,,,Cincius 1982: 222,ǣḳavvú,iakawwu,iˁ͡aˁqaˁwːuˁ,,,Novikova 1980: 176
,on (bi),,,,,,,,,,,,,,,,,,,,,,,,,on bi,on bi,on bji,,lit. how be,Sunik 1958: 78,ḥōn'í b'ī,hoːńị biː,χoːɲe bjiː,,,Sem 1976: 203,hōni bī ,hoːne biː,χwoːni biː,,"lit. how is, which is",Onenko 1980: 469,,,,,,,,,,,,,onobi,onobi,onoβji,,,"Girfanova 2001: 246, 247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hamačaː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hamačā,hamačaː,χamaʧaː,,,Onenko 1980: 469,ḥamata(n),χamata(n),χamata(n),,,Sunik 1985: 249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,χaːwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḥāvú,χaːwo,χaːwo,,,Sunik 1985: 248,xaawu ~ xauwu,haːwu ~ hauwu,χɑːwu ~ χɑuwu,,,Ikegami 1997: 228,,,,,,,,,,,,,,,,,,,,,,,,,awguun,awguːn,awgʊːn,,,Tsumagari 1992: 101,avady,awady,awadi,,,Vasilevich 1948:  121,,,,,,,,,,,,,,,,,,,,,,,,,avvu ~ avɣu ~ au ~ avgavu,awwu ~ awgu ~ au ~ awgawu,awwu ~ awgu ~ au ~ awgawu,,,Cincius 1982: 186,avvúv ~ avúv,awwuw ~ awuw,aˁwːuˁw ~ aˁwuˁw,,,Novikova 1980: 155
,iːr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iir,iːr,iːr,,,Dorji 1998: 319,iri,iri,iri,,,Hu 1986: 208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,irèk,irek,irek,,,Novikova 1980: 178
,antyː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antyː,antɨː,,,,,,,,,,,antyː,antɨː,,,,,,,,,,,,,,,,,,,,,
,edynma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edynma,edynma,edinma,,,Vasilevich 1948:  121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dig (v.),fətə-,,,,,,,fete-,fətə-,fətə-,,,Norman 1978: 87,fətə-,fətə-,fɘthɘ-,,,Li 1986: 157,fətə-,fətə-,fəthə-,,,An 1986: 98,fètè-,fətə-,fətə-,,,Sunik 1958: 199,fètè-,fətə-,fətə-,,,Sem 1976: 199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hulə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hulè-,hulə-,xwulə-,,,Onenko 1980: 479,hulè-,hulə-,xulə-,,,Sunik 1985: 253,xulə-,hulə-,xulə-,,,Ikegami 1997: 245,ulə-,ulə-,ulə-,,,Girfanova 2001: 318,ulöivi-,uləiwi-,uləiwi-,,,Schmidt 1928: 61,,,,,,,uləə-,uləː-,ulɐː-,,,Hu 1986: 201,ulə-,ulə-,ulə-,,,Tsumagari 1992: 91,ulè̄-,uləː-,ʉləː-,,,Vasilevich 1958: 440,,,,,,,,,,,,,,ulə-,ulə-,,,,,,,,,,ulạ̄- ~ ulè̄-,ulọː- ~ uləː-,ulɵː- ~ uləː-,,,Cincius 1982: 284,ul-,ul-,ul-,,,Novikova 1980: 216
,čọŋka-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čoŋḳắ-,čọŋka-,ʧoˁŋqaˁ-,,,Novikova 1980: 235
,malta-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,malta-,malta-,malta-,,,Dorji 1998: 424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pull (v.),toan-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toan-,toan-,twoan-,,,Onenko 1980: 398,túan-,toan-,toan-,,,Sunik 1985: 243,toon-,toːn-,tɔːn-,,,Ikegami 1997: 208,tana-,tana-,thana-,,,Girfanova 2001: 293,tān-,taːn-,taːn-,,,"Avrorin, Lebedeva 1978: 229",taa- (taan-),taː- (taːn-),taː- (taːn-),,,Dorji 1998: 652,taan-,taːn-,taːn-,,,Hu 1986: 200,,,,,,,tan-,tan-,tan-,,,Vasilevich 1958: 386,,taː-,taː-,,,,,,,,,,,taːn-,taːn-,,,,,,,,,,tān-,taːn-,taːn-,,,Cincius 1982: 273,tān-,taːn-,taˁːn-,,,Novikova 1980: 210
,uča-,,,,,,,,,,,,,,,,,,,uʂa-,uča-,uʂa-,,,An 1986: 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tata-,,,,,,,tata-,tata-,tata-,,,Norman 1978: 273,tatə-,tatə-,thɑthɘ-,,,Li 1986: 157,tatə-,tatə-,thathə-,,,Zhang et al. 1989: 119,tata-,tata-,tata-,,,Sunik 1958: 192,tata-,tata-,tata-,,,Sem 1976: 189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,goti,goti,goti,goti,,,Kane 1989: 294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iru-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iru-,iru-,iru-,,,Tsumagari 1992: 97,,,,,,,,,,,,,,iruː-,iruː-,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,fəkusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fèkus'i,fəkusi,fəkusji,,,Sem 1976: 198,pèkèsī ~ pèku,pəkəsiː ~ pəku,pəkəsiː ~ pəkwu,,pèkèsī - tactile; pèku - weather,Onenko 1980: 346,púḳa-úlí ~ pèk-uvli,poqa-ole ~ pəku-wli,poqaole ~ pəkuwli,,weather; hot-ADJ,"Sunik 1985: 227, 228",xəkku-uli,həkkuː-li,xəkːuːli,,"weather; hot-SUF, < Oroch",Ikegami 1997: 236,xəkuhi,həkui,xəkui,,,Girfanova 2001: 342,hèku,həku,xəku,,about weather (it is hot today),"Avrorin, Lebedeva 1978: 250",ehu-ddi,əhu-ddi,əxudːi,,hot-ADJ,Dorji 1998: 161,əku,əku,əxu,,,Hu 1986: 206,xəkkuu / xəku-ddi,həkkuː / həku-ddi,həkːuː / həkudːi,,hot-ADJ,Tsumagari 1992: 94,hèkū ~ èkū,həkuː ~ əkuː,həkʉː ~ əkʉː,,,"Vasilevich 1958: 505, 551",,həkupču,həkupt͡ʃu,,hot-ATR,,,hokuːgiː,hokuːγiː,,,,,həkuːhi ~ həkupču,həkuːhi ~ həkupt͡ʃu,,hot-ATR; #1 is for the Russian stimulus 'горячий'; #2 is for the Russian stimulus 'жаркий' (=referring to the weather),,,,,,,,hèku ~ hèhu ~ hèku-gdi ~ hèhu-gdi,həku ~ həhu ~ həku-gdi ~ həhu-gdi,xəku ~ xəxu ~ xəkugdi ~ xəxugdi,,hot-ADJ,Cincius 1982: 295,ḥôk ~ ḥôk-si ~ ḥôk-či,hok ~ hok-si ~ hok-či,ħok ~ ħok-ħi ~ ħok-ʧi,,ḥôk ~ ḥôk-si - tactile; ḥôk-či - weather; hot-ADJ,Novikova 1980: 226
,očkoli,,,,,,,,,,,,,,,,,,,oʨqoli,očkoli,ɔʨhqɔli,,,An 1986: 103,očosì,očosị,oʧosjɪ,,,Sunik 1958: 187,,,,,,,,,,,,,ačḳa-vlí,ačqa-wle,aʧqawle ,,hot-ADJ,Sunik 1985: 174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hulduː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xulduu,hulduː,xul̥duː,,tactile,Ikegami 1997: 244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,piǰira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,piǰira,/pi.ɟi.ra/,,weather,Czerwinski's fielddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,haluu,halu'u,haluu,xaluu,,,Kane 1989: 189,halhūn,halhuːn,χalxuːn,,,Norman 1978: 124,χalχun,halhun,xɑlxun,,,Li 1986: 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
firewood (n.),mo,mo,mo,mo,wood; tree,,Kane 1989: 340,moo,moː,moː,"tree, wood, stick",,Norman 1978: 201,,,,,,,mo,mo,mo,tree; wood,,An 1986: 95,mō,moː,moː,tree; stick; wood,,Sunik 1958: 183,mō ~ mu̇̄,moː,moː,tree; forest; wood; stick,,Sem 1976: 172,mō,moː,mwoː,wood; tree; stick,,Onenko 1980: 263,mō,moː,moː,tree; stick; wood,,Sunik 1985: 213,moo,moː,mɔː,tree; stick; wood,,Ikegami 1997: 124,mō,moː,moː,wood; stick; tree,,Girfanova 2001: 207,mō,moː,mɔː,tree; stick; forest; wood,,"Avrorin, Lebedeva 1978: 204",,,,,,,mɔɔ,mɔː,mʊɔː,tree,,Hu 1986: 198,moo,moː,moː,tree,,Tsumagari 1992: 97,mō,moː,moː,tree; firewood,,Vasilevich 1958: 254,,,,,,,,moːl,moːl,,wood-PL,,,mol,mol,,wood-PL,,,moːl,moːl,,wood-PL,,mō,moː,moː,wood; tree; stick; forest,,Cincius 1982: 241,mō,mọː,moˁː,tree; wood,,Novikova 1980: 190
,goloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,goloo,/go.lɔ:/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dəiʤi-,,,,,,,deiji-ku,dəiʤi-ku,dəiʤi-ku,,deiji-ku burning-SUF,Norman 1978: 56,diʨk,dičk,ditʂk,,,Li 1986: 154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,šuidəŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suideng,šuidəŋ,suidəŋ,,,Dorji 1998: 643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remain (v.),mənəʤi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mènèǯi-,mənəʤi-,mənəʤi-,,,"Avrorin, Lebedeva 1978: 206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,amäsa-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ameœsa-,amäsa-,amæsa-,to be late,to stay (at home),Girfanova 2001: 35,,,,,,,,,,,,,aɲa-,aɲa-,aɲa-,,,Li and Whaley 2009 http://wold.clld.org/valuesets/20-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dərəʤi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dèrèdi-,dərəʤi-,dərəʤi-,,,Onenko 1980: 171,dèrèǯu-,dərəʤu-,dərəʤu-,lag behind,,Sunik 1985: 193,dərəjdu-,dərəjdu-,dərəjdu-,,,Ikegami 1997: 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tuta-,,,,,,,,,,,,,tuta-,tuta-,thuthɑ-,,,Li 1986: 9,,,,,,,data-,data-,data-,,,Sunik 1958: 171,dota- ~ dotao-,dota- ~ dotao-,dota- ~ dotao-,,,Sem 1976: 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dota-,dụta-,dʊta-,,,Dorji 1998: 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,otu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otu-,/ɔ.tu/,,,Czerwinski's fielddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bi-,,,,,,,bi-,bi-,bji-,to be,,Norman 1978: 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,əməːn-mu-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,èmè̄n-mu-,əməːn-mu-,əməːn-mʉ-,,come-REFL-,Vasilevich 1958: 558,,,,,,,,,,,,,,omon-mu-,omon-mu-,,leave-CAUS,,,,,,,,èmạ̄-p- ~ èmọ̄-p- ~ èmè̄-p-,əmọː-p- ~ əmọː-p- ~ əməː-p-,əmɵː-p- ~ əmɵː-p- ~ əməː-p-,get lost,come-REFL-,Cincius 1982: 306,èmè-b- ~ èmè-p-,eme-b- ~ eme-p-,eme-b- ~ eme-p-,be late,come-REFL-,Novikova 1980: 239
,bọku-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,boḳú-,bọku-,boˁquˁ-,,,Novikova 1980: 162
,uldəː-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uldee-,uldəː-,uldəː-,,,Dorji 1998: 728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cold,gịsị-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g'ís'ís'í,gịsịsị,gjesjesje,,tactile,Sem 1976: 147,giči ~ gičisī,geče ~ gečeseː,gjeʧi ~ gjeʧeseː,,giči - weather; gičisī - tactile,"Onenko 1980: 108, 109",giti-si ~ gitu-li,giti-si ~ gitu-li,gitisi ~ gituli,,cold-ADJ,Sunik 1985: 184,gičču-uli,gičč-uːli,giʧːuːli,,tactile; cold-ADJ,Ikegami 1997: 69,gilihi,gilii,gjiljii,,tactile,Girfanova 2001: 86,gičisi,gičisi,gjiʧisji,,,"Avrorin, Lebedeva 1978: 174",,,,,,,,,,,,,,,,,,,gildy,gildy,gɨldɨ,,tactile,Vasilevich 1958: 87,,,,,,,,,,,,,,,,,,,,,,,,,gele-gdi ~ gele-si ~ gili-gdi ~ gili-si,gelegdi ~ gelesi ~ giligdi ~ gilisi,gelegdi ~ gelesi ~ giligdi ~ gilisi,,tactile; cold-ADJ,Cincius 1982: 203,,,,,,
,iŋni,,,,,,,,,,,,,,,,,,,,,,,,,iŋni,iŋni,iŋni,,,Sunik 1958: 175,,,,,,,,,,,,,,,,,,,,,,,,,iŋinihi,iŋinii,iŋinjii,,weather,Girfanova 2001: 153,iňin'i,iŋińi,iŋiɲi,,,"Avrorin, Lebedeva 1978: 189",iniḡi-ddi,inigi-ddi,iniɣidːi,,cold-ADJ,Dorji 1998: 336,iŋin,iŋin,iŋin,,,Hu 1986: 206,iŋini / iŋini-ddi,iŋini / iŋini-ddi,iŋiɲi / iŋiɲidːi,,cold-ADJ,Tsumagari 1992: 91,ingini-pču,iŋini-pču,ɨŋɨnɨpʧʉ,,weather; cold-ADJ,Vasilevich 1958: 170,,,,,,,,iŋińiːpču,iŋiɲiːpt͡ʃu,,cold-ATR,,,iŋinipču,iŋinipt͡ʃu,,cold-ATR,,,ińinməmə,iɲinməmə,,cold-INTS,,inin-ǯi ~ iňin-ǯi,inin-ʤi ~ iŋin-ʤi,ininʤi ~ iŋɣinʤi,,weather; cold-ADJ,Cincius 1982: 225,iŋăn' ~ iŋăn'-si,iŋeń ~ iŋeń-si,iŋeɲ ~ iŋeɲ-ħi,,iŋăn' - about weather; cold-ADJ,Novikova 1980: 178
